iban,bank,name,ammount
ES9114106556868923962002,Deutsche Bank,Samanta Poza Jordá,6427
ES4529494683048858702607,Kutxa,Domingo Mercader Gascón,9192
ES4590229613685681834143,Cajamar,Eugenio Néstor Alemany Prieto,3513
ES5386075856299897242690,Cajamar,Cosme de Toledo,957
ES2261982000696822643967,BancaMarch,Adelina Gallo Abellán,4789
ES3581491966877660640643,Sabadell,Marino Sandoval Alcalá,9711
ES7906368705053781424953,Kutxa,Javi Ibáñez Cámara,9628
ES3187877061269930631488,Deutsche Bank,Constanza Tomasa Esparza Arteaga,6780
ES4779654864155838781108,BancaMarch,Luciana Barral Raya,1342
ES8184238777856832123826,Kutxa,Mauricio Canet-Gallart,3300
ES6184942810662826343800,BBVA,Ramiro Vicente Saura Toro,3859
ES3977383168070940960675,ING,Gilberto Sotelo Martí,588
ES4536798736724796636699,IberCaja,Bruno Suárez Cortés,6386
ES5434757375425553815442,Santander,Ruperta Calvet,5175
ES0758481327830527812218,ING,Rocío Perelló-Cueto,3362
ES5254481267829541968650,BancaMarch,Soledad Osuna Anaya,8371
ES5782371988538802388407,Deutsche Bank,Noa Acevedo-Alcaraz,9339
ES5189539951343668121606,CecaBank,Eusebio de Díaz,1921
ES1264399371938192053321,IberCaja,María Fernanda Valentín Menéndez,5404
ES4416749647951485625655,Kutxa,Clotilde Arévalo Niño,5706
ES5387017429137747331797,Sabadell,Malena Tejera Gomis,1059
ES1123501881249482312251,CecaBank,Maristela Marin Aroca,534
ES2737012584733836641949,Sabadell,Marco Escudero-Vilaplana,4012
ES3973521680939430226200,BBVA,Sol Llamas Cases,8375
ES2119467995569068452309,Sabadell,Celso Sanmiguel Cárdenas,1919
ES4879291515057593960719,Bankinter,Anacleto Pedraza Villegas,174
ES7047971361957368866373,Cajamar,José de Falcón,2399
ES2754399657099266507907,CecaBank,Xavier Beltrán Quintana,8758
ES6832540996953372855611,BBVA,Malena Alcalde,3375
ES1594063123514220373368,Deutsche Bank,Carmen Falcón Sanmartín,4783
ES2369209170204818494298,IberCaja,Verónica Guillén Escalona,1078
ES2027668673203142313819,BBVA,Remedios Dolores Tudela Pastor,8189
ES1840555514022627042536,Cajamar,Sara Arribas Girona,8824
ES4715265633451355677313,BancaMarch,Agustina Benítez Porcel,8795
ES1609965927496082898006,Sabadell,Débora de Laguna,1449
ES1688537298150260150139,IberCaja,Gil Chaparro Quero,9800
ES3170279094293421532090,BBVA,Concepción Ros,6687
ES9062982416902741734892,Cajamar,Narciso Angulo Aragón,5188
ES0486914331189895795066,Santander,Aurora del Duque,2557
ES7689043123119653871121,Cajamar,Jerónimo Estevez Valenciano,3512
ES2885322533677133865685,ING,Alma Otero Marín,1795
ES2845298228263148312784,CecaBank,Adrián Pazos Calvet,616
ES3575037880361230805835,Cooperativo,Elena del Pallarès,131
ES2145817263499796167613,Kutxa,Cruz Pedraza Patiño,6537
ES4787606055652410603003,BancaMarch,Narcisa Uría Antúnez,4094
ES8406656227641568492760,BBVA,Lino Piquer Dalmau,9242
ES0670644810828319202591,CecaBank,Aroa Chelo Vizcaíno Figueroa,2139
ES5298962597669208296067,Sabadell,Custodia Cabezas Casanovas,4868
ES5722501126060032110303,Deutsche Bank,Adelia Benitez Cueto,7862
ES2078147869801460816158,Cooperativo,Rafaela Arenas Lillo,6800
ES3663400684163722095301,ING,Mamen de Saavedra,3668
ES1866205712084537898830,Cajamar,Concha Fajardo-Bilbao,1504
ES4246795753485828225116,BancaMarch,Segismundo Meléndez Conesa,4852
ES1488143071986649205900,Sabadell,Guiomar Pomares Navas,1193
ES9844152951656674947728,Deutsche Bank,Ascensión Villalonga Vilaplana,3483
ES3594696556615167668324,CecaBank,Edelmira Mateo Vilaplana,9119
ES2855297257877246926197,Bankinter,Marino Blazquez Vera,8632
ES7568115698214883616917,CaixaBank,Victoria Sans Esparza,5304
ES6561992132238287323362,Cooperativo,Adelardo Nicolás Gascón,3557
ES2567140665227618481293,BancaMarch,Poncio Garmendia-Larrañaga,3496
ES5831021001404782631710,IberCaja,Primitivo Castrillo,5372
ES3021701984887915430036,Cooperativo,Hilario Luna Valls,1921
ES2293167959204050160882,BancaMarch,Ciro Casas Cañete,3074
ES1766213381633596971021,Cooperativo,Edmundo Polo Paz,195
ES0572394653753851317969,Cooperativo,Alicia Mendizábal Hernández,6466
ES2029374946633802940575,CaixaBank,Augusto Hierro,4675
ES9110206462199681399362,CaixaBank,Xiomara de Castañeda,4496
ES5685335355860243132439,Kutxa,Eric Gámez-Peinado,5518
ES1193618270304411931492,ING,Marita Infante Ballester,225
ES3512300328568608683281,Cooperativo,Emilio de Figueroa,8248
ES5521095516665268120086,Deutsche Bank,Nilda Gallardo Sancho,1936
ES1761891310194800181416,Kutxa,Teófila Paola Alvarez Alberdi,1627
ES4615372259272274303050,Deutsche Bank,Camila del Teruel,1289
ES0655475099115903616686,ING,Teodora Vázquez Angulo,5840
ES9433081656097214992524,Kutxa,Dafne Alfonso Mercader,2859
ES6079949066468532610537,IberCaja,Manuelita Vilaplana Abellán,5576
ES9539089887632972635662,Kutxa,Ani del Benavides,5571
ES6542892159218044569214,CecaBank,Visitación Macaria Hidalgo Cisneros,2547
ES6219544370169453840006,Kutxa,Paco Barrena-Alfaro,5710
ES4437588427876381140952,BBVA,Benigna Chico Álamo,449
ES6086553750990677841919,ING,Mar Recio,2965
ES9258322191489403035649,Sabadell,Belén Font Raya,3723
ES1343885448472548577332,Cooperativo,Efraín Salvador Cabrera Machado,834
ES5565970309382593221367,Bankinter,Paz Renata Iñiguez Puente,8703
ES1668485687109038141809,Sabadell,María Almansa-Armas,558
ES1034327915370402180442,CaixaBank,Ruth Barranco Frías,419
ES0447627370394783827187,Santander,Leire Alberola Manuel,9869
ES0921255177591979608004,Bankinter,Norberto Bayón Caro,4183
ES1346046640948258816959,BancaMarch,Azeneth Macías Cazorla,4839
ES1565271798443580215341,Cooperativo,Calisto Aguiló Heredia,6243
ES7715078123605787268346,Santander,Estrella Catalá,4064
ES7276325080539260708082,Kutxa,Cruz Borja Salcedo Olmedo,247
ES7968243403350045385914,BBVA,Alfonso Gámez,848
ES3881563848521688027104,BBVA,Vicente Aparicio Torrents,1441
ES9501680162457802765163,Deutsche Bank,Francisco Jose Carro-Correa,9312
ES6573863905612933013784,Bankinter,Adela Benavides,4312
ES0670803385729275344042,ING,Andrés Raya Abellán,6350
ES4172253685764427558568,IberCaja,Ibán Agustí Pont,1153
ES1677031983922851044471,Bankinter,Bienvenida Calleja Aguilar,1029
ES1781740514727297967478,Sabadell,Candelario Valencia Luque,4371
ES4839211545661641950949,Kutxa,Dafne Padilla Guijarro,4561
ES2322387948867454237582,CecaBank,Marianela Valera Gelabert,7513
ES6282543597647451449257,BBVA,Jose Angel Calderón-Martí,6753
ES7217195598916815065923,Kutxa,Amancio Gascón-Caballero,8210
ES5174014821101491981746,Kutxa,Gema Corral Larrañaga,2593
ES8009528995299766824719,Sabadell,Florinda Peiró Nicolás,5532
ES8497832523450605478397,IberCaja,Toño de Pi,7738
ES3761091155669174936956,ING,Adelaida Benitez Coronado,1839
ES0283914645811245380408,Cajamar,Mamen Español Artigas,8197
ES9064059530852125740381,Cooperativo,Jose Angel Lledó Antón,9667
ES6001457857935124304789,BBVA,Fernanda Carreño Porcel,4059
ES8634020291446348719797,CaixaBank,Amarilis Nicolasa Rosa Villalobos,9357
ES3877623789569397026078,Cooperativo,Godofredo Valbuena Trujillo,850
ES5736265258476155015975,IberCaja,Abigaíl Prats Muro,5801
ES4727849205977245875962,Sabadell,María Teresa Galán Piquer,8491
ES8636077618441780214201,BancaMarch,Pascuala Jerez Ramis,3493
ES4330595506170642241973,ING,Emma Quero Mateos,4308
ES7769175729280231096827,Bankinter,Leticia Muro Capdevila,5615
ES3907862851622525549878,Kutxa,Iván Rodrigo Carmona Meléndez,9728
ES5302589547251667199015,Bankinter,Lucía Vives Cordero,2313
ES9461970092649272548456,Cooperativo,Ascensión Dueñas Ferrando,8624
ES1221570790992524745882,Sabadell,Bautista Haro Marquez,3532
ES7552523622008489976443,Cooperativo,Amor Arellano Ribes,4684
ES8320046912849994501272,BBVA,Carla Tirado,5896
ES7678080722475343939765,Bankinter,Gilberto Ojeda Bejarano,259
ES1209667870495956103328,Bankinter,Jose Antonio Perelló,3999
ES3241650196895942750990,BancaMarch,María Cristina Samper Almeida,2975
ES8224183432824740325590,Cooperativo,Victoria Cornejo Puga,9012
ES4556830305105734687740,Santander,Nieves Ariza Cueto,8807
ES7602388955618353044633,Sabadell,Eva Guardia Suárez,7072
ES0246686994255250279268,ING,Renato Alberto Fábregas,1729
ES6151705497284339348031,ING,Sol Parra,503
ES2579397153683464494942,BancaMarch,Maxi Iniesta Cuervo,3471
ES0392108007304242444708,CecaBank,Víctor Palomo Naranjo,8260
ES9845284262210177410995,Sabadell,Samanta Salomé Río Tello,7362
ES3263097525144011700468,BBVA,Irene Galán Arrieta,8908
ES8320710324842909679380,BancaMarch,Sabas Sosa Duque,8192
ES3613093770041853806531,CecaBank,Jose Miguel Solano,2557
ES0722465556327495243471,ING,Godofredo del Farré,9509
ES8588771030755139830633,Santander,Marisela Benavides Benet,5689
ES9357204517708927123222,Cooperativo,Elba Saturnina Hidalgo Valbuena,5380
ES3656685413058308217612,CaixaBank,Yésica Arévalo Ricart,7521
ES9023871750158428835677,Cajamar,Felicia Estevez,3941
ES6051646632942693354704,Cajamar,Julie Gámez Feijoo,6634
ES5992939065780098578513,Cooperativo,Faustino Cordero Fernandez,1937
ES1549238290562800827110,IberCaja,Chelo Cerdán Llamas,9888
ES4840368401727192037046,BancaMarch,Pascual Sanmartín Tomé,3506
ES4985735818970652311469,CaixaBank,Julie Arias Andrade,7733
ES3717147925001537657265,Cooperativo,Serafina Verdugo Becerra,169
ES6241462646146139602749,BancaMarch,Cristian Agudo Bellido,6791
ES6602045429883031611099,Deutsche Bank,Guadalupe Valero Castrillo Pujadas,3016
ES8211131284893240633209,IberCaja,Celia Garcia,3620
ES1159808858346097542196,Deutsche Bank,Lupita Santos Borrego,7659
ES1855746567093710874439,Bankinter,Jose Ignacio Vives León,7446
ES7243578412091416788920,IberCaja,Hipólito Segovia Osorio,880
ES1857922625710255869880,CaixaBank,Olivia de Pareja,9677
ES3013246134875354113324,Deutsche Bank,Irma Mosquera Serna,7395
ES4256014491628593926667,CecaBank,Feliciana Modesta Gárate Rosa,4913
ES4190627064293248214606,Sabadell,Emilia Cloe Santana Fuentes,936
ES8748437543575494156883,BancaMarch,Américo Cano Rivero,4821
ES2213392139320770883787,BBVA,Maximiano Acuña Cuevas,2678
ES3822969404586479707272,BBVA,Jose Ramón Mariscal Morcillo,4264
ES3065862836957610475683,Deutsche Bank,Marcela Parra Blanca,2859
ES6459343102324447072121,CecaBank,Ariel Falcón-Artigas,2880
ES3243737866283837506762,CecaBank,Etelvina Cal Cabrero,4569
ES2852499407597377136268,Kutxa,Eugenio Canet Matas,3759
ES3325274158046157090285,Bankinter,Anselma Belen Sans Salgado,2519
ES3214160690479687791269,Bankinter,Gabino Marco Villanueva Canales,3443
ES3472071608875165467334,Kutxa,Aroa Goicoechea,2927
ES6944853152165984663891,Cajamar,Xavier Doménech Fábregas,1907
ES6309969563975391996378,BancaMarch,Trini Valera Godoy,9374
ES4695316081306915779610,ING,Armando Egea Segovia,3708
ES5806021786964842587896,Bankinter,Jafet Lasa Checa,6655
ES3630359147255792857466,CecaBank,Máxima López Comas,3275
ES3140785635400087172257,Bankinter,Vera de Lillo,7936
ES8069318018616832702644,Deutsche Bank,Daniela Valle Cuesta,1538
ES1073367786047442440813,Kutxa,Paco Machado,1269
ES0301251116709834781029,Sabadell,Casemiro Eduardo Cornejo Montalbán,5400
ES6205381748633716050210,Kutxa,Rafa Cueto Leal,124
ES6626511685214521558616,Santander,Lucas Paredes,7124
ES9205277851940686877749,Cooperativo,Guiomar Adán Montesinos,4790
ES2517529363072536547276,Bankinter,Diana Mercedes Vall Hurtado,2460
ES8146406556710641147900,BBVA,Melisa Ferrer Izaguirre,3371
ES3834600002641147188276,Sabadell,Teo Ramírez Solana,1392
ES5218312575914813581539,Santander,Merche Cornejo Marcos,1929
ES4600813361673003016364,IberCaja,Inés Gomez Chamorro,380
ES9073513159535417887161,IberCaja,Amancio Pedro Marí,3710
ES6674755832632052012702,BBVA,Ainoa Ibarra Mas,5060
ES7560442847247144188562,Sabadell,Yésica Consuela Almansa Alba,1483
ES4173601124649012532925,Deutsche Bank,Horacio Soler Mateu,4201
ES5673587890592503943834,Cooperativo,Leticia Daza Landa,4006
ES4853447457887843020000,Kutxa,Bibiana Raquel Viñas Giner,5536
ES3867839252646941943636,BBVA,Martina Valderrama Sainz,4880
